SymbolName	GVL_Wind.gWindStateOut.nstatus_Infor_Wind.nstatus_Act	SymbolName	GVL_Wind.gWindStateOut.nstatus_Infor_Code1.nstatus_Act	SymbolName	GVL_Wind.gWindStateOut.nstatus_Infor_Code2.nstatus_Act	SymbolName	GVL_Wind.gWindStateOut.nstatus_Infor_Code3.nstatus_Act	SymbolName	GVL_Wind.gWindStateOut.nstatus_Infor_Trun.nstatus_Act	SymbolName	GVL_Wind.gWindStateOut.nstatus_Infor_PFeed.nstatus_Act	SymbolName	GVL_Wind.gWindStateOut.nstatus_Infor_NFeed.nstatus_Act	SymbolName	GVL_Wind.gWindStateOut.nstatus_Infor_Push.nstatus_Act
NetID	169.254.244.1.1.1	NetID	169.254.244.1.1.1	NetID	169.254.244.1.1.1	NetID	169.254.244.1.1.1	NetID	169.254.244.1.1.1	NetID	169.254.244.1.1.1	NetID	169.254.244.1.1.1	NetID	169.254.244.1.1.1
Port	851	Port	851	Port	851	Port	851	Port	851	Port	851	Port	851	Port	851
Offset	0	Offset	0	Offset	0	Offset	0	Offset	0	Offset	0	Offset	0	Offset	0
ScaleFactor	1	ScaleFactor	1	ScaleFactor	1	ScaleFactor	1	ScaleFactor	1	ScaleFactor	1	ScaleFactor	1	ScaleFactor	1
BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff
Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)
Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1
Unit Offset	0	Unit Offset	0	Unit Offset	0	Unit Offset	0	Unit Offset	0	Unit Offset	0	Unit Offset	0	Unit Offset	0

244	420	244	2000	244	20	244	130	244	0	244	210	244	0	244	0
246	420	246	2000	246	20	246	130	246	0	246	210	246	0	246	0
248	420	248	2000	248	20	248	130	248	0	248	210	248	0	248	0
250	420	250	2000	250	20	250	130	250	0	250	210	250	0	250	0
252	420	252	2000	252	20	252	130	252	0	252	210	252	0	252	0
254	420	254	2000	254	20	254	130	254	0	254	210	254	0	254	0
256	420	256	2000	256	20	256	130	256	0	256	210	256	0	256	0
258	420	258	2000	258	20	258	130	258	0	258	210	258	0	258	0
260	420	260	2000	260	20	260	130	260	0	260	210	260	0	260	0
262	420	262	2000	262	20	262	130	262	0	262	210	262	0	262	0
264	420	264	2000	264	20	264	130	264	0	264	210	264	0	264	0
266	420	266	2000	266	20	266	130	266	0	266	210	266	0	266	0
268	420	268	2000	268	20	268	130	268	0	268	210	268	0	268	0
270	420	270	2000	270	20	270	130	270	0	270	210	270	0	270	0
272	420	272	2000	272	20	272	130	272	0	272	210	272	0	272	0
274	420	274	2000	274	20	274	130	274	0	274	210	274	0	274	0
276	420	276	2000	276	20	276	130	276	0	276	210	276	0	276	0
278	420	278	2000	278	20	278	130	278	0	278	210	278	0	278	0
280	420	280	2000	280	20	280	130	280	0	280	210	280	0	280	0
282	420	282	2000	282	20	282	130	282	0	282	210	282	0	282	0
284	420	284	2000	284	20	284	130	284	0	284	210	284	0	284	0
286	420	286	2000	286	20	286	130	286	0	286	210	286	0	286	0
288	420	288	2000	288	20	288	130	288	0	288	210	288	0	288	0
290	420	290	2000	290	20	290	130	290	0	290	210	290	0	290	0
292	420	292	2000	292	20	292	130	292	0	292	210	292	0	292	0
294	420	294	2000	294	20	294	130	294	0	294	210	294	0	294	0
296	420	296	2000	296	20	296	130	296	0	296	210	296	0	296	0
298	420	298	2000	298	20	298	130	298	0	298	210	298	0	298	0
300	420	300	2000	300	20	300	130	300	0	300	210	300	0	300	0
302	420	302	2000	302	20	302	130	302	0	302	210	302	0	302	0
304	420	304	2000	304	20	304	130	304	0	304	210	304	0	304	0
306	420	306	2000	306	20	306	130	306	0	306	210	306	0	306	0
308	420	308	2000	308	20	308	130	308	0	308	210	308	0	308	0
310	420	310	2000	310	20	310	130	310	0	310	210	310	0	310	0
312	420	312	2000	312	20	312	130	312	0	312	210	312	0	312	0
314	420	314	2000	314	20	314	130	314	0	314	210	314	0	314	0
316	420	316	2000	316	20	316	130	316	0	316	210	316	0	316	0
318	420	318	2000	318	20	318	130	318	0	318	210	318	0	318	0
320	420	320	2000	320	20	320	130	320	0	320	210	320	0	320	0
322	420	322	2000	322	20	322	130	322	0	322	210	322	0	322	0
324	420	324	2000	324	20	324	130	324	0	324	210	324	0	324	0
326	420	326	2000	326	20	326	130	326	0	326	210	326	0	326	0
328	420	328	2000	328	20	328	130	328	0	328	210	328	0	328	0
330	420	330	2000	330	20	330	130	330	0	330	210	330	0	330	0
332	420	332	2000	332	20	332	130	332	0	332	210	332	0	332	0
334	420	334	2000	334	20	334	130	334	0	334	210	334	0	334	0
336	420	336	2000	336	20	336	130	336	0	336	210	336	0	336	0
338	420	338	2000	338	20	338	130	338	0	338	210	338	0	338	0
340	420	340	2000	340	20	340	130	340	0	340	210	340	0	340	0
342	420	342	2000	342	20	342	130	342	0	342	210	342	0	342	0
344	420	344	2000	344	20	344	130	344	0	344	210	344	0	344	0
346	420	346	2000	346	20	346	130	346	0	346	210	346	0	346	0
348	420	348	2000	348	20	348	130	348	0	348	210	348	0	348	0
350	420	350	2000	350	20	350	130	350	0	350	210	350	0	350	0
352	420	352	2000	352	20	352	130	352	0	352	210	352	0	352	0
354	420	354	2000	354	20	354	130	354	0	354	210	354	0	354	0
356	420	356	2000	356	20	356	130	356	0	356	210	356	0	356	0
358	420	358	2000	358	20	358	130	358	0	358	210	358	0	358	0
360	420	360	2000	360	20	360	130	360	0	360	210	360	0	360	0
362	420	362	2000	362	20	362	130	362	0	362	210	362	0	362	0
364	420	364	2000	364	20	364	130	364	0	364	210	364	0	364	0
366	420	366	2000	366	20	366	130	366	0	366	210	366	0	366	0
368	420	368	2000	368	20	368	130	368	0	368	210	368	0	368	0
370	420	370	2000	370	20	370	130	370	0	370	210	370	0	370	0
372	420	372	2000	372	20	372	130	372	0	372	210	372	0	372	0
374	420	374	2000	374	20	374	130	374	0	374	210	374	0	374	0
376	420	376	2000	376	20	376	130	376	0	376	210	376	0	376	0
378	420	378	2000	378	20	378	130	378	0	378	210	378	0	378	0
380	420	380	2000	380	20	380	130	380	0	380	210	380	0	380	0
382	420	382	2000	382	20	382	130	382	0	382	210	382	0	382	0
384	420	384	2000	384	20	384	130	384	0	384	210	384	0	384	0
386	420	386	2000	386	20	386	130	386	0	386	210	386	0	386	0
388	420	388	2000	388	20	388	130	388	0	388	210	388	0	388	0
390	420	390	2000	390	20	390	130	390	0	390	210	390	0	390	0
392	420	392	2000	392	20	392	130	392	0	392	210	392	0	392	0
394	420	394	2000	394	20	394	130	394	0	394	210	394	0	394	0
396	420	396	2000	396	20	396	130	396	0	396	210	396	0	396	0
398	420	398	2000	398	20	398	130	398	0	398	210	398	0	398	0
400	420	400	2000	400	20	400	130	400	0	400	210	400	0	400	0
402	420	402	2000	402	20	402	130	402	0	402	210	402	0	402	0
404	420	404	2000	404	20	404	130	404	0	404	210	404	0	404	0
406	420	406	2000	406	20	406	130	406	0	406	210	406	0	406	0
408	420	408	2000	408	20	408	130	408	0	408	210	408	0	408	0
