"TraceType","Continuous"
"TriggerType",""
"SamplePeriod","0:0:10:0:0"
"SampleRate","1"
"ExternalFileStorage","False"
"MaxSamplesPerFile","29999"
"MaxDataSetSize","100"
"TargetDirectory","C:\OMRON\Data\DataTrace\"
"FilePrefix","1#机器时序"

"SampleTimingType","interval"
"TaskName","BaseControl"
"SamplingInterval","1"
"Triggers","False:::"
"PostTriggerDataRatio","100"
"StartOnRun","False"
"EnableRealTimeDisplay","True"
"BehaviorWhenMax","Stop"

"TriggerRecordTime","0"
"StartRawTime","1739181533108760814"
"Index","Date","ClockTime","RawTime","TraceSampID","gSt1Feedingtensionstrap_StateOut.nstatus_Auto:INT","gSt2Feedingandhandling_StateOut.nstatus_Auto:INT","gSt2Feedingandhandling_StateOut.nstatus_Auto_1:INT","gSt2Feedingandhandling_StateOut.nstatus_Auto_2:INT","gSt3FeedingPreposition_StateOut.nstatus_Auto:INT","gSt4Feedingandscraping_StateOut.nstatus_Auto:INT","gSt5FeedScrape_StateOut.nstatus_Auto:INT","gSt6HotpressShaping_StateOut.nstatus_Auto:INT","gSt7FeedingScanning_StateOut.nstatus_Auto:INT","gSt8LoadingNGbox_StateOut.nstatus_Auto:INT","gSt9Feedingpackage_StateOut.nstatus_Auto:INT","gSt10blankingpackage_StateOut.nstatus_Auto:INT","gSt11PackageCart_StateOut[1].nstatus_Auto:INT","gSt11PackageCart_StateOut[2].nstatus_Auto:INT","gSt11PackageCart_StateOut[3].nstatus_Auto:INT","gSt11PackageCart_StateOut[4].nstatus_Auto:INT","gSt11PackageCart_StateOut[5].nstatus_Auto:INT","gSt11PackageCart_StateOut[6].nstatus_Auto:INT","gSt17Cutterstation_StateOut.nstatus_Auto:INT","gSt18Finesealhandling_StateOut.nstatus_Auto:INT","gSt19Fineseal_StateOut.nstatus_Auto:INT","gSt20Fineseal_StateOut.nstatus_Auto:INT","gSt21Weighing_StateOut.nstatus_Auto:INT","gSt22Blankingandhandling_StateOut.nstatus_Auto:INT","gSt23BlankingNGbox_StateOut.nstatus_Auto:INT","gSt24Blankingandscanning_StateOut.nstatus_Auto:INT","gSt25blankingandturning_StateOut.nstatus_Auto:INT","gSt26Blankingtensionstrap_StateOut.nstatus_Auto:INT"
"50","2025-02-10","09:58:53.30","1739181533308749740","","35","70","20","500","20","20","40","30","10","10","30","40","290","290","60","60","60","60","40","30","60","60","40","30","0","0","30","20"
"51","2025-02-10","09:58:53.31","1739181533312766536","","35","70","20","500","20","20","40","30","10","10","30","40","290","290","60","60","60","60","40","30","60","60","40","30","0","0","30","20"
"52","2025-02-10","09:58:53.31","1739181533316758012","","35","70","20","500","20","20","40","30","10","10","30","40","290","290","60","60","60","60","40","30","60","60","40","30","0","0","30","20"
"53","2025-02-10","09:58:53.32","1739181533320751468","","35","70","20","500","20","20","40","30","10","10","30","40","290","290","60","60","60","60","40","30","60","60","40","30","0","0","30","20"
"54","2025-02-10","09:58:53.32","1739181533324753768","","35","70","20","500","20","20","40","30","10","10","30","40","290","290","60","60","60","60","40","30","60","60","40","30","0","0","30","20"
"55","2025-02-10","09:58:53.32","1739181533328752588","","35","70","20","500","20","20","40","30","10","10","30","40","290","290","60","60","60","60","40","30","60","60","40","30","0","0","30","20"
"56","2025-02-10","09:58:53.33","1739181533332763912","","35","70","20","500","20","20","40","30","10","10","30","40","290","290","60","60","60","60","40","30","60","60","40","30","0","0","30","20"
"57","2025-02-10","09:58:53.33","1739181533336756576","","35","70","20","500","20","20","40","30","10","10","30","40","290","290","60","60","60","60","40","30","60","60","40","30","0","0","30","20"
"58","2025-02-10","09:58:53.34","1739181533340753500","","35","70","20","500","20","20","40","30","10","10","30","40","290","290","60","60","60","60","40","30","60","60","40","30","0","0","30","20"
"59","2025-02-10","09:58:53.34","1739181533344751084","","35","70","20","500","20","20","40","30","10","10","30","40","290","290","60","60","60","60","40","30","60","60","40","30","0","0","30","20"
"60","2025-02-10","09:58:53.34","1739181533348753480","","35","70","20","500","20","20","40","30","10","10","30","40","290","290","60","60","60","60","40","30","60","60","40","30","0","0","30","20"
"61","2025-02-10","09:58:53.35","1739181533352752372","","35","70","20","500","20","20","40","30","10","10","30","40","290","290","60","60","60","60","40","30","60","60","40","30","0","0","30","20"
"62","2025-02-10","09:58:53.35","1739181533356752824","","35","70","20","500","20","20","40","30","10","10","30","40","290","290","60","60","60","60","40","30","60","60","40","30","0","0","30","20"
"63","2025-02-10","09:58:53.36","1739181533360750984","","35","70","20","500","20","20","40","30","10","10","30","40","290","290","60","60","60","60","40","30","60","60","40","30","0","0","30","20"
"64","2025-02-10","09:58:53.36","1739181533364762728","","35","70","20","500","20","20","40","30","10","10","30","40","290","290","60","60","60","60","40","30","60","60","40","30","0","0","30","20"
"65","2025-02-10","09:58:53.36","1739181533368754683","","35","70","20","500","20","20","40","30","10","10","30","40","290","290","60","60","60","60","40","30","60","60","40","30","0","0","30","20"
"66","2025-02-10","09:58:53.37","1739181533372756551","","35","70","20","500","20","20","40","30","10","10","30","40","290","290","60","60","60","60","40","30","60","60","40","30","0","0","30","20"
"67","2025-02-10","09:58:53.37","1739181533376751879","","35","70","20","500","20","20","40","30","10","10","30","40","290","290","60","60","60","60","40","30","60","60","40","30","0","0","30","20"
"68","2025-02-10","09:58:53.38","1739181533380754335","","35","70","20","500","20","20","40","30","10","10","30","40","290","290","60","60","60","60","40","30","60","60","40","30","0","0","30","20"
"69","2025-02-10","09:58:53.38","1739181533384751883","","35","70","20","500","20","20","40","30","10","10","30","40","290","290","60","60","60","60","40","30","60","60","40","30","0","0","30","20"
"70","2025-02-10","09:58:53.38","1739181533388761839","","35","70","20","500","20","20","40","30","10","10","30","40","290","290","60","60","60","60","40","30","60","60","40","30","0","0","30","20"
"71","2025-02-10","09:58:53.39","1739181533392748071","","35","70","20","500","20","20","40","30","10","10","30","40","290","290","60","60","60","60","40","30","60","60","40","30","0","0","30","20"
"72","2025-02-10","09:58:53.39","1739181533396759059","","35","70","20","500","20","20","40","30","10","10","30","40","290","290","60","60","60","60","40","30","60","60","40","30","0","0","30","20"
"73","2025-02-10","09:58:53.40","1739181533400752503","","35","70","20","500","20","20","40","30","10","10","30","40","290","290","60","60","60","60","40","30","60","60","40","30","0","0","30","20"
"74","2025-02-10","09:58:53.40","1739181533404746127","","35","70","20","500","20","20","40","30","10","10","30","40","290","290","60","60","60","60","40","30","60","60","40","30","0","0","30","20"
"75","2025-02-10","09:58:53.40","1739181533408753011","","35","70","20","500","20","20","40","30","10","10","30","40","290","290","60","60","60","60","40","30","60","60","40","30","0","0","30","20"
"76","2025-02-10","09:58:53.41","1739181533412752455","","35","70","20","500","20","20","40","30","10","10","30","40","290","290","60","60","60","60","40","30","60","60","40","30","0","0","30","20"
"77","2025-02-10","09:58:53.41","1739181533416750375","","35","70","20","500","20","20","40","30","10","10","30","40","290","290","60","60","60","60","40","30","60","60","40","30","0","0","30","20"
"78","2025-02-10","09:58:53.42","1739181533420764423","","35","70","20","500","20","20","40","30","10","10","30","40","290","290","60","60","60","60","40","30","60","60","40","30","0","0","30","20"
